repo,status
KDE/kwooty,Pass
KDE/ocs-server,Error
KDE/kopete,Error
KDE/dekorator,Pass
KDE/qca,Pass
KDE/kf5book,Pass
KDE/libtagaro,Pass
KDE/plasma-active-kickstart,Error
KDE/akonadi-search,Error
KDE/breeze,Error
KDE/release-buddy,Error
KDE/kdegraphics,Error
KDE/telegram-qt,Error
KDE/kcompletion,Error
KDE/ksaolaji,Pass
KDE/gluon-blocks,Pass
KDE/kdev-qmake,Pass
KDE/ktp-filetransfer-handler,Pass
KDE/kanagram,Pass
KDE/akonadi-googledata-resource,Pass
KDE/ffmpegthumbs,Pass
KDE/zanshin,Pass
KDE/kfloppy,Pass
KDE/knewstuff,Error
KDE/sflphone-kde,Error
KDE/ktp-contact-runner,Pass
KDE/kwindowsaddons,Pass
KDE/kolourpaint,Pass
KDE/akonadi-git-resource,Pass
KDE/akonadi-next,Pass
KDE/libksysguard,Error
KDE/plasma-workspace,Error
KDE/libkcompactdisc,Pass
KDE/flickr-runner,Pass
KDE/releaseme,Error
KDE/ktp-kde,Pass
KDE/kio,Error
KDE/ktp-launcher-kded,Pass
KDE/kldap,Error
KDE/ktp-active,Error
KDE/kdf,Pass
KDE/stibium,Error
KDE/kcodecs,Error
KDE/svgmod,Pass
KDE/plasma-lionmail,Pass
KDE/solid,Error
KDE/kscd,Pass
KDE/lightdm,Pass
KDE/kgpg,Pass
KDE/libkface,Error
KDE/kcron,Pass
KDE/perlkde,Pass
KDE/kpimtextedit,Error
KDE/kdb,Error
KDE/kdeedu-data,Pass
KDE/ktp-approver,Pass
KDE/kamoso,Error
KDE/libkdeedu,Pass
KDE/prison,Error
KDE/ksystemlog,Error
KDE/krita-ctlbrush,Pass
KDE/kwalletmanager,Pass
KDE/kross-interpreters,Pass
KDE/klook,Pass
KDE/aki,Pass
KDE/akonadi-facebook,Error
KDE/plasma-workspace-wallpapers,Pass
KDE/strigiutils,Error
KDE/qtruby,Pass
KDE/killbots,Pass
KDE/skrooge,Error
KDE/plasma-maliit-framework,Error
KDE/signon-kwallet-extension,Pass
KDE/plasma-sdk,Error
KDE/kontact-quick,Pass
KDE/oxygen,Error
KDE/spectacle,Error
KDE/kxmlrpcclient,Error
KDE/krita,Error
KDE/android-builder,Error
KDE/kaccounts-mobile,Pass
KDE/breeze-gtk,Pass
KDE/kscreenlocker,Pass
KDE/discover,Error
KDE/minuet,Pass
KDE/oxygen-icons5,Error
KDE/plasma-pk-updates,Pass
KDE/kjots,Pass
KDE/brprint3d,Pass
KDE/kdepim-addons,Error
KDE/libksieve,Error
KDE/libgravatar,Error
KDE/kdgantt2,Pass
KDE/incidenceeditor,Pass
KDE/calendarsupport,Pass
KDE/grantleetheme,Error
KDE/libkleo,Error
KDE/pimcommon,Error
KDE/mailimporter,Pass
KDE/mailcommon,Error
KDE/libkdepim,Pass
KDE/messagelib,Error
KDE/eventviews,Pass
KDE/kdepim-apps-libs,Pass
KDE/confine,Pass
KDE/kexi,Error
KDE/propagator,Error
KDE/plasma-integration,Pass
KDE/eyeos-style,Pass
KDE/ktp-mobile,Pass
KDE/peruse,Error
KDE/asynqt,Pass
KDE/kactivities-stats,Error
KDE/kube,Pass
KDE/sink,Error
KDE/kactivitymanagerd,Error
KDE/spacebar,Pass
KDE/kio-gdrive,Error
KDE/breeze-grub,Error
KDE/breeze-plymouth,Pass
KDE/kleopatra,Error
KDE/kirigami,Pass
KDE/libkdegameai,Error
KDE/kdev-embedded,Pass
KDE/binschema,Error
KDE/flatpak-kde-runtime,Error
KDE/flatpak-kde-applications,Error
KDE/telepathy-kdeconnect,Pass
KDE/akonadi-notes,Pass
KDE/akonadi-contacts,Error
KDE/akonadi-mime,Error
KDE/krename,Error
KDE/kio-stash,Pass
KDE/plasma-tests,Pass
KDE/samba-mounter,Pass
KDE/kairo,Pass
KDE/kde-now,Error
KDE/wikitolearn-offline-extension,Error
KDE/appstream-runner,Pass
KDE/pim-sieve-editor,Error
KDE/pim-storage-service-manager,Pass
KDE/mbox-importer,Pass
KDE/pim-data-exporter,Pass
KDE/grantlee-editor,Pass
