command,freq
kairo_auto_tests,1
add_sieveeditor_importwizard_unittest,6
akregator_job_unittest,1
add_kmail_undosend_unittest,2
add_kmail_job_unittest,2
generate_syntax_definition,2
generate_php_syntax_definition,6
TEST,4
byacc_target,1
add_flex_byacc_dependency,1
qt1_wrap_moc,37
add_qt1_object_library,4
qt1_wrap_cpp,8
QT1_WRAP_MOC,34
install_kdegmo,1
install_charsets,1
install_icon,29
QT1_WRAP_CPP,1
webenginepart_unit_tests,1
language_from_po,1
translate_html_pofile,1
TRANSLATE_HTML,1
KIMAP2_UNIT_TESTS,1
KIMAP2_TESTS,1
php_lint,8
uf_add_test,21
qml_lint,1
KDE_ENABLE_EXCEPTIONS,2
PLASMATE_UNIT_TEST,4
add_rocketchatrestapi_test,143
create_python_bindings,2
add_ruqola_test,104
add_ruqolawidget_test,4
add_ruqolachannellist_test,3
add_ruqolaroom_test,20
add_ruqoladialog_test,49
add_ruqolamisc_test,8
add_ruqolaconfiguredialog_test,3
add_ruqolacommon_test,1
add_ruqolathreadwidget_test,2
add_ruqola_registeruser_test,2
add_ruqola_myaccount_test,6
add_ruqola_prunemessages_test,2
add_administrator_test,13
add_ruqola_exportmessages_test,2
add_ruqola_plugin_unittest,4
add_ruqola_plugin_textplugin_unittest,2
get_WIN32_WINNT,1
pyfalkon_tests,1
install_python_script,3
install_qml_script,1
falkon_tests,3
falkon_qml_tests,1
falkon_benchmarks,1
rust_test,7
osm_filter,3
osm_convert,3
generate_db,5
qtquick_compiler_add_resources,4
washipad_auto_tests,1
planschedulers_tj_add_unit_test,2
planwidgets_add_unit_test,1
planstore_add_unit_test,2
planodf_add_unit_test,11
planmain_add_unit_test,3
plankernel_add_unit_test,14
planmodels_add_unit_test,5
plan_add_unit_test,1
PLAN_ADD_TEST_COMMAND,2
PLAN_ADD_UNIT_TEST,14
process_header,6
INSTALL_TARGETS,1
CONVERT_PRL_LIBS_TO_CMAKE,2
add_libkbolt_test,2
get_current_source_subdir,55
install_python2_module_files,12
link_install_scripts,2
docbook_book_to_html_chunked,2
docbook_book_to_html_single,2
install_synder_files,3
epydoc_to_html,1
install_po_domain,1
add_qml_tests,1
externalProject_add,1
externalProject_get_property,1
grantlee_adjust_plugin_name,4
grantlee_templates_unit_tests,3
grantlee_textdocument_unit_tests,1
INSTALL_KID3_PLUGIN,10
get_prerequisites,1
CHANGE_RPATH,5
kf5_create_handbook,1
kid3_create_handbook,1
kid3_create_manpage,1
qt5_add_translation,2
add_qt_android_apk,1
ecm_add_qtwayland_server_protocol_kde,35
llvm_map_components_to_libnames,1
BuildParserScanner,2
get_build_info,12
fetch_osm_data,6
qt5_create_translation,1
corrosion_import_crate,1
